,skew,kurt,maxdom,dfrange
0,2.1971068182688,8.31880914856817,0.0078125,0.0
1,2.1971068182688,8.31880914856817,0.0546875,0.046875
2,2.1971068182688,8.31880914856817,0.015625,0.0078125
3,1.23283127554372,4.17729621025317,0.5625,0.5546875
4,1.10117366551545,4.3337131547091,5.484375,5.4765625
5,1.93256243208397,8.30889503672364,2.7265625,2.71875
6,1.53064323137138,5.98749765804991,5.3125,5.3046875
7,1.39715636508704,4.76661069503212,0.5390625,0.53125
8,1.09974615121553,4.07028370586557,2.1640625,2.15625
9,1.19036844433836,4.78730983303407,4.6953125,4.6796875
10,0.97944227542161,3.97422262552131,2.8125,2.8046875
11,1.62676986679461,6.29136507870849,2.71875,2.7109375
12,1.37872820350982,5.00895162500433,5.015625,5.0
13,1.36943045758527,5.47559978801453,2.8046875,2.796875
14,3.56810402353109,35.3847484526494,6.7421875,6.5390625
15,4.48503835015822,61.7649083141473,7.0,6.9921875
16,1.56230368302863,7.83434988641618,6.3203125,6.3125
17,3.20716982695899,25.765564944839,0.5703125,0.5625
18,2.70433472872787,18.4847025968934,3.125,3.1171875
19,2.80497488480386,20.8575431560588,2.8203125,2.8125
20,2.96776509333623,20.0781146980326,0.71875,0.7109375
21,2.58732453355436,12.2814319226622,3.6953125,3.6875
22,3.58764999004366,28.6537805052841,0.4453125,0.4375
23,2.81679291835158,13.7645822009404,0.5625,0.5546875
24,6.25320825198848,8.31880914856817,3.953125,3.9453125
25,4.20860840517055,43.6818854251652,1.0625,1.0546875
26,4.26992267782145,45.895247817628,3.609375,3.6015625
27,3.07927339517432,14.3402988428128,0.7109375,0.703125
28,2.19212624568844,8.1524097848739,0.6796875,0.671875
29,2.79996894420966,12.1903605225796,0.5078125,0.5
30,0.885701647564837,3.52398185555844,1.0234375,1.015625
31,3.28184796412453,16.6194816902798,0.6328125,0.625
32,3.7364872838807,21.6666687322304,0.6484375,0.640625
33,2.57673204167683,10.1101248635807,4.171875,4.1640625
34,3.26303975514635,16.4240546533024,0.6328125,0.625
35,1.99350051635909,6.87035117730035,2.609375,2.6015625
36,1.93606512957553,6.33462579919017,0.6015625,0.59375
37,4.50444054120607,31.0784170212519,0.5546875,0.421875
38,4.34483833752222,26.5896054771146,0.6875,0.6796875
39,2.74595133817315,11.7842974325439,0.9140625,0.90625
40,2.9304399719962,13.7261348171167,0.6953125,0.6875
41,2.60339414672349,13.2658509847965,4.1796875,4.171875
42,2.11720304242108,8.93917620720334,2.8203125,2.8125
43,2.35259390850293,13.9079320272048,4.7265625,4.640625
44,2.31962625805316,8.56421827295169,0.625,0.6171875
45,3.26847494565386,22.8964449095253,5.2265625,5.21875
46,3.01916419498691,17.5364251271974,1.3359375,1.328125
47,1.69952875409686,7.62875603602875,0.671875,0.640625
48,1.93966253253269,8.2038320801542,6.8828125,6.875
49,2.01099330245147,10.2620740441014,4.6640625,4.6328125
50,1.55226944031081,7.23018794624159,4.6640625,4.65625
51,3.42177943711039,19.133217298205,4.4453125,4.4296875
52,2.26411498679544,13.082296797808,5.15625,5.1484375
53,2.05255065694371,10.9413056776317,5.828125,5.7890625
